"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Champaign County, IL","17019","Hispanic or Latino","2135-2",211
,"Champaign County, IL","17019","Not Hispanic or Latino","2186-5",1966
,"Champaign County, IL","17019","Unknown or Not Stated","9",218
,"Cook County, IL","17031","Hispanic or Latino","2135-2",19213
,"Cook County, IL","17031","Not Hispanic or Latino","2186-5",46588
,"Cook County, IL","17031","Unknown or Not Stated","9",978
,"DeKalb County, IL","17037","Hispanic or Latino","2135-2",151
,"DeKalb County, IL","17037","Not Hispanic or Latino","2186-5",942
,"DeKalb County, IL","17037","Unknown or Not Stated","9",0
,"DuPage County, IL","17043","Hispanic or Latino","2135-2",2030
,"DuPage County, IL","17043","Not Hispanic or Latino","2186-5",8667
,"DuPage County, IL","17043","Unknown or Not Stated","9",135
,"Kane County, IL","17089","Hispanic or Latino","2135-2",2826
,"Kane County, IL","17089","Not Hispanic or Latino","2186-5",3874
,"Kane County, IL","17089","Unknown or Not Stated","9",10
,"Kankakee County, IL","17091","Hispanic or Latino","2135-2",193
,"Kankakee County, IL","17091","Not Hispanic or Latino","2186-5",1154
,"Kankakee County, IL","17091","Unknown or Not Stated","9",Suppressed
,"Kendall County, IL","17093","Hispanic or Latino","2135-2",291
,"Kendall County, IL","17093","Not Hispanic or Latino","2186-5",1301
,"Kendall County, IL","17093","Unknown or Not Stated","9",Suppressed
,"Lake County, IL","17097","Hispanic or Latino","2135-2",2400
,"Lake County, IL","17097","Not Hispanic or Latino","2186-5",5021
,"Lake County, IL","17097","Unknown or Not Stated","9",239
,"LaSalle County, IL","17099","Hispanic or Latino","2135-2",171
,"LaSalle County, IL","17099","Not Hispanic or Latino","2186-5",1089
,"LaSalle County, IL","17099","Unknown or Not Stated","9",Suppressed
,"McHenry County, IL","17111","Hispanic or Latino","2135-2",568
,"McHenry County, IL","17111","Not Hispanic or Latino","2186-5",2477
,"McHenry County, IL","17111","Unknown or Not Stated","9",45
,"McLean County, IL","17113","Hispanic or Latino","2135-2",112
,"McLean County, IL","17113","Not Hispanic or Latino","2186-5",1904
,"McLean County, IL","17113","Unknown or Not Stated","9",Suppressed
,"Macon County, IL","17115","Hispanic or Latino","2135-2",27
,"Macon County, IL","17115","Not Hispanic or Latino","2186-5",1299
,"Macon County, IL","17115","Unknown or Not Stated","9",Suppressed
,"Madison County, IL","17119","Hispanic or Latino","2135-2",128
,"Madison County, IL","17119","Not Hispanic or Latino","2186-5",2920
,"Madison County, IL","17119","Unknown or Not Stated","9",Suppressed
,"Peoria County, IL","17143","Hispanic or Latino","2135-2",144
,"Peoria County, IL","17143","Not Hispanic or Latino","2186-5",2392
,"Peoria County, IL","17143","Unknown or Not Stated","9",0
,"Rock Island County, IL","17161","Hispanic or Latino","2135-2",289
,"Rock Island County, IL","17161","Not Hispanic or Latino","2186-5",1486
,"Rock Island County, IL","17161","Unknown or Not Stated","9",Suppressed
,"St. Clair County, IL","17163","Hispanic or Latino","2135-2",157
,"St. Clair County, IL","17163","Not Hispanic or Latino","2186-5",3065
,"St. Clair County, IL","17163","Unknown or Not Stated","9",Suppressed
,"Sangamon County, IL","17167","Hispanic or Latino","2135-2",78
,"Sangamon County, IL","17167","Not Hispanic or Latino","2186-5",2166
,"Sangamon County, IL","17167","Unknown or Not Stated","9",Suppressed
,"Tazewell County, IL","17179","Hispanic or Latino","2135-2",35
,"Tazewell County, IL","17179","Not Hispanic or Latino","2186-5",1461
,"Tazewell County, IL","17179","Unknown or Not Stated","9",0
,"Will County, IL","17197","Hispanic or Latino","2135-2",1806
,"Will County, IL","17197","Not Hispanic or Latino","2186-5",5957
,"Will County, IL","17197","Unknown or Not Stated","9",41
,"Winnebago County, IL","17201","Hispanic or Latino","2135-2",651
,"Winnebago County, IL","17201","Not Hispanic or Latino","2186-5",3058
,"Winnebago County, IL","17201","Unknown or Not Stated","9",Suppressed
,"Unidentified Counties, IL","17999","Hispanic or Latino","2135-2",1154
,"Unidentified Counties, IL","17999","Not Hispanic or Latino","2186-5",21216
,"Unidentified Counties, IL","17999","Unknown or Not Stated","9",111
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Illinois (17)"
"Year: 2016"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 7:56:05 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 7:56:05 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
