"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Canadian County, OK","40017","American Indian or Alaska Native","1002-5",101
,"Canadian County, OK","40017","Asian","A",64
,"Canadian County, OK","40017","Black or African American","2054-5",58
,"Canadian County, OK","40017","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Canadian County, OK","40017","White","2106-3",1460
,"Canadian County, OK","40017","More than one race","M",97
,"Canadian County, OK","40017","Unknown or Not Stated","UNK",0
,"Canadian County, OK","40017","Not Available","NA",0
,"Canadian County, OK","40017","Not Reported","NR",0
,"Cleveland County, OK","40027","American Indian or Alaska Native","1002-5",145
,"Cleveland County, OK","40027","Asian","A",135
,"Cleveland County, OK","40027","Black or African American","2054-5",159
,"Cleveland County, OK","40027","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Cleveland County, OK","40027","White","2106-3",2357
,"Cleveland County, OK","40027","More than one race","M",215
,"Cleveland County, OK","40027","Unknown or Not Stated","UNK",0
,"Cleveland County, OK","40027","Not Available","NA",0
,"Cleveland County, OK","40027","Not Reported","NR",0
,"Comanche County, OK","40031","American Indian or Alaska Native","1002-5",124
,"Comanche County, OK","40031","Asian","A",50
,"Comanche County, OK","40031","Black or African American","2054-5",330
,"Comanche County, OK","40031","Native Hawaiian or Other Pacific Islander","NHOPI",15
,"Comanche County, OK","40031","White","2106-3",1122
,"Comanche County, OK","40031","More than one race","M",116
,"Comanche County, OK","40031","Unknown or Not Stated","UNK",0
,"Comanche County, OK","40031","Not Available","NA",0
,"Comanche County, OK","40031","Not Reported","NR",0
,"Oklahoma County, OK","40109","American Indian or Alaska Native","1002-5",522
,"Oklahoma County, OK","40109","Asian","A",476
,"Oklahoma County, OK","40109","Black or African American","2054-5",2172
,"Oklahoma County, OK","40109","Native Hawaiian or Other Pacific Islander","NHOPI",36
,"Oklahoma County, OK","40109","White","2106-3",8261
,"Oklahoma County, OK","40109","More than one race","M",730
,"Oklahoma County, OK","40109","Unknown or Not Stated","UNK",0
,"Oklahoma County, OK","40109","Not Available","NA",0
,"Oklahoma County, OK","40109","Not Reported","NR",0
,"Tulsa County, OK","40143","American Indian or Alaska Native","1002-5",523
,"Tulsa County, OK","40143","Asian","A",432
,"Tulsa County, OK","40143","Black or African American","2054-5",1287
,"Tulsa County, OK","40143","Native Hawaiian or Other Pacific Islander","NHOPI",24
,"Tulsa County, OK","40143","White","2106-3",6633
,"Tulsa County, OK","40143","More than one race","M",740
,"Tulsa County, OK","40143","Unknown or Not Stated","UNK",0
,"Tulsa County, OK","40143","Not Available","NA",0
,"Tulsa County, OK","40143","Not Reported","NR",0
,"Unidentified Counties, OK","40999","American Indian or Alaska Native","1002-5",3931
,"Unidentified Counties, OK","40999","Asian","A",331
,"Unidentified Counties, OK","40999","Black or African American","2054-5",774
,"Unidentified Counties, OK","40999","Native Hawaiian or Other Pacific Islander","NHOPI",152
,"Unidentified Counties, OK","40999","White","2106-3",17195
,"Unidentified Counties, OK","40999","More than one race","M",1819
,"Unidentified Counties, OK","40999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, OK","40999","Not Available","NA",0
,"Unidentified Counties, OK","40999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Oklahoma (40)"
"Year: 2016"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 5:46:24 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 5:46:24 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
