"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Bernalillo County, NM","35001","American Indian or Alaska Native","1002-5",612
,"Bernalillo County, NM","35001","Asian","A",216
,"Bernalillo County, NM","35001","Black or African American","2054-5",221
,"Bernalillo County, NM","35001","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Bernalillo County, NM","35001","White","2106-3",6342
,"Bernalillo County, NM","35001","More than one race","M",177
,"Bernalillo County, NM","35001","Unknown or Not Stated","UNK",0
,"Bernalillo County, NM","35001","Not Available","NA",0
,"Bernalillo County, NM","35001","Not Reported","NR",0
,"Dona Ana County, NM","35013","American Indian or Alaska Native","1002-5",30
,"Dona Ana County, NM","35013","Asian","A",47
,"Dona Ana County, NM","35013","Black or African American","2054-5",36
,"Dona Ana County, NM","35013","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Dona Ana County, NM","35013","White","2106-3",2683
,"Dona Ana County, NM","35013","More than one race","M",38
,"Dona Ana County, NM","35013","Unknown or Not Stated","UNK",0
,"Dona Ana County, NM","35013","Not Available","NA",0
,"Dona Ana County, NM","35013","Not Reported","NR",0
,"Sandoval County, NM","35043","American Indian or Alaska Native","1002-5",315
,"Sandoval County, NM","35043","Asian","A",18
,"Sandoval County, NM","35043","Black or African American","2054-5",24
,"Sandoval County, NM","35043","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Sandoval County, NM","35043","White","2106-3",1074
,"Sandoval County, NM","35043","More than one race","M",31
,"Sandoval County, NM","35043","Unknown or Not Stated","UNK",0
,"Sandoval County, NM","35043","Not Available","NA",0
,"Sandoval County, NM","35043","Not Reported","NR",0
,"San Juan County, NM","35045","American Indian or Alaska Native","1002-5",798
,"San Juan County, NM","35045","Asian","A",21
,"San Juan County, NM","35045","Black or African American","2054-5",Suppressed
,"San Juan County, NM","35045","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"San Juan County, NM","35045","White","2106-3",850
,"San Juan County, NM","35045","More than one race","M",49
,"San Juan County, NM","35045","Unknown or Not Stated","UNK",0
,"San Juan County, NM","35045","Not Available","NA",0
,"San Juan County, NM","35045","Not Reported","NR",0
,"Santa Fe County, NM","35049","American Indian or Alaska Native","1002-5",67
,"Santa Fe County, NM","35049","Asian","A",26
,"Santa Fe County, NM","35049","Black or African American","2054-5",10
,"Santa Fe County, NM","35049","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Santa Fe County, NM","35049","White","2106-3",1173
,"Santa Fe County, NM","35049","More than one race","M",12
,"Santa Fe County, NM","35049","Unknown or Not Stated","UNK",0
,"Santa Fe County, NM","35049","Not Available","NA",0
,"Santa Fe County, NM","35049","Not Reported","NR",0
,"Unidentified Counties, NM","35999","American Indian or Alaska Native","1002-5",1297
,"Unidentified Counties, NM","35999","Asian","A",129
,"Unidentified Counties, NM","35999","Black or African American","2054-5",188
,"Unidentified Counties, NM","35999","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Unidentified Counties, NM","35999","White","2106-3",8004
,"Unidentified Counties, NM","35999","More than one race","M",171
,"Unidentified Counties, NM","35999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, NM","35999","Not Available","NA",0
,"Unidentified Counties, NM","35999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New Mexico (35)"
"Year: 2016"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 5:41:17 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 5:41:17 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
