"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Brown County, WI","55009","Hispanic or Latino","2135-2",431
,"Brown County, WI","55009","Not Hispanic or Latino","2186-5",2886
,"Brown County, WI","55009","Unknown or Not Stated","9",Suppressed
,"Dane County, WI","55025","Hispanic or Latino","2135-2",497
,"Dane County, WI","55025","Not Hispanic or Latino","2186-5",5314
,"Dane County, WI","55025","Unknown or Not Stated","9",72
,"Fond du Lac County, WI","55039","Hispanic or Latino","2135-2",94
,"Fond du Lac County, WI","55039","Not Hispanic or Latino","2186-5",969
,"Fond du Lac County, WI","55039","Unknown or Not Stated","9",Suppressed
,"Kenosha County, WI","55059","Hispanic or Latino","2135-2",324
,"Kenosha County, WI","55059","Not Hispanic or Latino","2186-5",1543
,"Kenosha County, WI","55059","Unknown or Not Stated","9",Suppressed
,"La Crosse County, WI","55063","Hispanic or Latino","2135-2",24
,"La Crosse County, WI","55063","Not Hispanic or Latino","2186-5",1164
,"La Crosse County, WI","55063","Unknown or Not Stated","9",0
,"Marathon County, WI","55073","Hispanic or Latino","2135-2",55
,"Marathon County, WI","55073","Not Hispanic or Latino","2186-5",1394
,"Marathon County, WI","55073","Unknown or Not Stated","9",Suppressed
,"Milwaukee County, WI","55079","Hispanic or Latino","2135-2",2405
,"Milwaukee County, WI","55079","Not Hispanic or Latino","2186-5",10968
,"Milwaukee County, WI","55079","Unknown or Not Stated","9",54
,"Outagamie County, WI","55087","Hispanic or Latino","2135-2",135
,"Outagamie County, WI","55087","Not Hispanic or Latino","2186-5",2061
,"Outagamie County, WI","55087","Unknown or Not Stated","9",Suppressed
,"Racine County, WI","55101","Hispanic or Latino","2135-2",422
,"Racine County, WI","55101","Not Hispanic or Latino","2186-5",1852
,"Racine County, WI","55101","Unknown or Not Stated","9",11
,"Rock County, WI","55105","Hispanic or Latino","2135-2",245
,"Rock County, WI","55105","Not Hispanic or Latino","2186-5",1660
,"Rock County, WI","55105","Unknown or Not Stated","9",Suppressed
,"Sheboygan County, WI","55117","Hispanic or Latino","2135-2",130
,"Sheboygan County, WI","55117","Not Hispanic or Latino","2186-5",1054
,"Sheboygan County, WI","55117","Unknown or Not Stated","9",20
,"Walworth County, WI","55127","Hispanic or Latino","2135-2",140
,"Walworth County, WI","55127","Not Hispanic or Latino","2186-5",777
,"Walworth County, WI","55127","Unknown or Not Stated","9",0
,"Washington County, WI","55131","Hispanic or Latino","2135-2",46
,"Washington County, WI","55131","Not Hispanic or Latino","2186-5",1243
,"Washington County, WI","55131","Unknown or Not Stated","9",Suppressed
,"Waukesha County, WI","55133","Hispanic or Latino","2135-2",257
,"Waukesha County, WI","55133","Not Hispanic or Latino","2186-5",3596
,"Waukesha County, WI","55133","Unknown or Not Stated","9",10
,"Winnebago County, WI","55139","Hispanic or Latino","2135-2",114
,"Winnebago County, WI","55139","Not Hispanic or Latino","2186-5",1695
,"Winnebago County, WI","55139","Unknown or Not Stated","9",24
,"Unidentified Counties, WI","55999","Hispanic or Latino","2135-2",1049
,"Unidentified Counties, WI","55999","Not Hispanic or Latino","2186-5",20123
,"Unidentified Counties, WI","55999","Unknown or Not Stated","9",80
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Wisconsin (55)"
"Year: 2017"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 12:16:22 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 12:16:22 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
