"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Bernalillo County, NM","35001","Under 15 years","15",Suppressed
,"Bernalillo County, NM","35001","15-19 years","15-19",315
,"Bernalillo County, NM","35001","20-24 years","20-24",1350
,"Bernalillo County, NM","35001","25-29 years","25-29",1909
,"Bernalillo County, NM","35001","30-34 years","30-34",1829
,"Bernalillo County, NM","35001","35-39 years","35-39",929
,"Bernalillo County, NM","35001","40-44 years","40-44",203
,"Bernalillo County, NM","35001","45-49 years","45-49",Suppressed
,"Bernalillo County, NM","35001","50 years and over","50+",0
,"Dona Ana County, NM","35013","Under 15 years","15",Suppressed
,"Dona Ana County, NM","35013","15-19 years","15-19",186
,"Dona Ana County, NM","35013","20-24 years","20-24",657
,"Dona Ana County, NM","35013","25-29 years","25-29",774
,"Dona Ana County, NM","35013","30-34 years","30-34",525
,"Dona Ana County, NM","35013","35-39 years","35-39",271
,"Dona Ana County, NM","35013","40-44 years","40-44",55
,"Dona Ana County, NM","35013","45-49 years","45-49",0
,"Dona Ana County, NM","35013","50 years and over","50+",0
,"Sandoval County, NM","35043","Under 15 years","15",0
,"Sandoval County, NM","35043","15-19 years","15-19",65
,"Sandoval County, NM","35043","20-24 years","20-24",258
,"Sandoval County, NM","35043","25-29 years","25-29",397
,"Sandoval County, NM","35043","30-34 years","30-34",360
,"Sandoval County, NM","35043","35-39 years","35-39",189
,"Sandoval County, NM","35043","40-44 years","40-44",51
,"Sandoval County, NM","35043","45-49 years","45-49",Suppressed
,"Sandoval County, NM","35043","50 years and over","50+",0
,"San Juan County, NM","35045","Under 15 years","15",0
,"San Juan County, NM","35045","15-19 years","15-19",106
,"San Juan County, NM","35045","20-24 years","20-24",323
,"San Juan County, NM","35045","25-29 years","25-29",407
,"San Juan County, NM","35045","30-34 years","30-34",321
,"San Juan County, NM","35045","35-39 years","35-39",151
,"San Juan County, NM","35045","40-44 years","40-44",28
,"San Juan County, NM","35045","45-49 years","45-49",Suppressed
,"San Juan County, NM","35045","50 years and over","50+",0
,"Santa Fe County, NM","35049","Under 15 years","15",0
,"Santa Fe County, NM","35049","15-19 years","15-19",42
,"Santa Fe County, NM","35049","20-24 years","20-24",215
,"Santa Fe County, NM","35049","25-29 years","25-29",322
,"Santa Fe County, NM","35049","30-34 years","30-34",295
,"Santa Fe County, NM","35049","35-39 years","35-39",189
,"Santa Fe County, NM","35049","40-44 years","40-44",39
,"Santa Fe County, NM","35049","45-49 years","45-49",Suppressed
,"Santa Fe County, NM","35049","50 years and over","50+",Suppressed
,"Unidentified Counties, NM","35999","Under 15 years","15",Suppressed
,"Unidentified Counties, NM","35999","15-19 years","15-19",771
,"Unidentified Counties, NM","35999","20-24 years","20-24",2527
,"Unidentified Counties, NM","35999","25-29 years","25-29",2800
,"Unidentified Counties, NM","35999","30-34 years","30-34",1960
,"Unidentified Counties, NM","35999","35-39 years","35-39",875
,"Unidentified Counties, NM","35999","40-44 years","40-44",169
,"Unidentified Counties, NM","35999","45-49 years","45-49",15
,"Unidentified Counties, NM","35999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New Mexico (35)"
"Year: 2020"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 8:13:26 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 8:13:26 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
