"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Allegan County, MI","26005","Hispanic or Latino","2135-2",135
,"Allegan County, MI","26005","Not Hispanic or Latino","2186-5",1281
,"Allegan County, MI","26005","Unknown or Not Stated","9",0
,"Bay County, MI","26017","Hispanic or Latino","2135-2",62
,"Bay County, MI","26017","Not Hispanic or Latino","2186-5",884
,"Bay County, MI","26017","Unknown or Not Stated","9",Suppressed
,"Berrien County, MI","26021","Hispanic or Latino","2135-2",144
,"Berrien County, MI","26021","Not Hispanic or Latino","2186-5",1527
,"Berrien County, MI","26021","Unknown or Not Stated","9",Suppressed
,"Calhoun County, MI","26025","Hispanic or Latino","2135-2",81
,"Calhoun County, MI","26025","Not Hispanic or Latino","2186-5",1454
,"Calhoun County, MI","26025","Unknown or Not Stated","9",Suppressed
,"Eaton County, MI","26045","Hispanic or Latino","2135-2",54
,"Eaton County, MI","26045","Not Hispanic or Latino","2186-5",1051
,"Eaton County, MI","26045","Unknown or Not Stated","9",Suppressed
,"Genesee County, MI","26049","Hispanic or Latino","2135-2",136
,"Genesee County, MI","26049","Not Hispanic or Latino","2186-5",4420
,"Genesee County, MI","26049","Unknown or Not Stated","9",Suppressed
,"Ingham County, MI","26065","Hispanic or Latino","2135-2",195
,"Ingham County, MI","26065","Not Hispanic or Latino","2186-5",2848
,"Ingham County, MI","26065","Unknown or Not Stated","9",Suppressed
,"Jackson County, MI","26075","Hispanic or Latino","2135-2",65
,"Jackson County, MI","26075","Not Hispanic or Latino","2186-5",1667
,"Jackson County, MI","26075","Unknown or Not Stated","9",Suppressed
,"Kalamazoo County, MI","26077","Hispanic or Latino","2135-2",201
,"Kalamazoo County, MI","26077","Not Hispanic or Latino","2186-5",2872
,"Kalamazoo County, MI","26077","Unknown or Not Stated","9",Suppressed
,"Kent County, MI","26081","Hispanic or Latino","2135-2",1241
,"Kent County, MI","26081","Not Hispanic or Latino","2186-5",7399
,"Kent County, MI","26081","Unknown or Not Stated","9",Suppressed
,"Livingston County, MI","26093","Hispanic or Latino","2135-2",53
,"Livingston County, MI","26093","Not Hispanic or Latino","2186-5",1639
,"Livingston County, MI","26093","Unknown or Not Stated","9",12
,"Macomb County, MI","26099","Hispanic or Latino","2135-2",329
,"Macomb County, MI","26099","Not Hispanic or Latino","2186-5",8827
,"Macomb County, MI","26099","Unknown or Not Stated","9",15
,"Monroe County, MI","26115","Hispanic or Latino","2135-2",54
,"Monroe County, MI","26115","Not Hispanic or Latino","2186-5",1411
,"Monroe County, MI","26115","Unknown or Not Stated","9",Suppressed
,"Muskegon County, MI","26121","Hispanic or Latino","2135-2",132
,"Muskegon County, MI","26121","Not Hispanic or Latino","2186-5",1911
,"Muskegon County, MI","26121","Unknown or Not Stated","9",Suppressed
,"Oakland County, MI","26125","Hispanic or Latino","2135-2",782
,"Oakland County, MI","26125","Not Hispanic or Latino","2186-5",12381
,"Oakland County, MI","26125","Unknown or Not Stated","9",19
,"Ottawa County, MI","26139","Hispanic or Latino","2135-2",406
,"Ottawa County, MI","26139","Not Hispanic or Latino","2186-5",2725
,"Ottawa County, MI","26139","Unknown or Not Stated","9",Suppressed
,"Saginaw County, MI","26145","Hispanic or Latino","2135-2",254
,"Saginaw County, MI","26145","Not Hispanic or Latino","2186-5",1927
,"Saginaw County, MI","26145","Unknown or Not Stated","9",Suppressed
,"St. Clair County, MI","26147","Hispanic or Latino","2135-2",52
,"St. Clair County, MI","26147","Not Hispanic or Latino","2186-5",1491
,"St. Clair County, MI","26147","Unknown or Not Stated","9",0
,"Washtenaw County, MI","26161","Hispanic or Latino","2135-2",186
,"Washtenaw County, MI","26161","Not Hispanic or Latino","2186-5",3277
,"Washtenaw County, MI","26161","Unknown or Not Stated","9",64
,"Wayne County, MI","26163","Hispanic or Latino","2135-2",1555
,"Wayne County, MI","26163","Not Hispanic or Latino","2186-5",21315
,"Wayne County, MI","26163","Unknown or Not Stated","9",40
,"Unidentified Counties, MI","26999","Hispanic or Latino","2135-2",1022
,"Unidentified Counties, MI","26999","Not Hispanic or Latino","2186-5",20317
,"Unidentified Counties, MI","26999","Unknown or Not Stated","9",67
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Michigan (26)"
"Year: 2018"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 3:30:30 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 3:30:30 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
