Session Title,Number of FLU ED Encounters by State and Age,,,
Session Description,"ED encounters, 3 ED diagnoses j09* j10* j11*, 53 states, 6 age groups, 2023-2025",,,
Session ID,2726822,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"ED Diagnoses: Influenza due to unidentified influenza virus( ICD-10-CM: J11.* ), Influenza due to other identified influenza virus( ICD-10-CM: J10.* ), Influenza due to certain identified influenza viruses( ICD-10-CM: J09.* )",,,
Session Date Range,1/5/2025 - 10/30/2025 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/5/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2025,Jan 5 – Jan 11,160
,,,Jan 12 – Jan 18,216
,,,Jan 19 – Jan 25,208
,,,Jan 26 – Feb 1,285
,,,Feb 2 – Feb 8,256
,,,Feb 9 – Feb 15,175
,,,Feb 16 – Feb 22,125
,,,Feb 23 – Mar 1,87
,,,Mar 2 – Mar 8,65
,,,Mar 9 – Mar 15,53
,,,Mar 16 – Mar 22,61
,,,Mar 23 – Mar 29,48
,,,Mar 30 – Apr 5,24
,,,Apr 6 – Apr 12,21
,,,Apr 13 – Apr 19,27
,,,Apr 20 – Apr 26,16
,,,Apr 27 – May 3,24
,,,May 4 – May 10,10 or fewer
,,,May 11 – May 17,11
,,,May 18 – May 24,10 or fewer
,,,May 25 – May 31,12
,,,Jun 1 – Jun 7,13
,,,Jun 8 – Jun 14,11
,,,Jun 15 – Jun 21,10 or fewer
,,,Jun 22 – Jun 28,14
,,,Jun 29 – Jul 5,10 or fewer
,,,Jul 6 – Jul 12,10 or fewer
,,,Jul 13 – Jul 19,10 or fewer
,,,Jul 20 – Jul 26,10 or fewer
,,,Jul 27 – Aug 2,10 or fewer
,,,Aug 3 – Aug 9,10 or fewer
,,,Aug 10 – Aug 16,10 or fewer
,,,Aug 17 – Aug 23,10 or fewer
,,,Aug 24 – Aug 30,10 or fewer
,,,Aug 31 – Sep 6,10 or fewer
,,,Sep 7 – Sep 13,10 or fewer
,,,Sep 14 – Sep 20,10 or fewer
,,,Sep 21 – Sep 27,10 or fewer
,,,Sep 28 – Oct 4,10 or fewer
,,,Oct 5 – Oct 11,11
,,,Oct 12 – Oct 18,11
,,,Oct 19 – Oct 25,10 or fewer
,,,Oct 26 – Oct 30,10 or fewer
,≥ 1 and < 5 Years,2025,Jan 5 – Jan 11,644
,,,Jan 12 – Jan 18,958
,,,Jan 19 – Jan 25,1049
,,,Jan 26 – Feb 1,1259
,,,Feb 2 – Feb 8,1041
,,,Feb 9 – Feb 15,776
,,,Feb 16 – Feb 22,526
,,,Feb 23 – Mar 1,379
,,,Mar 2 – Mar 8,308
,,,Mar 9 – Mar 15,271
,,,Mar 16 – Mar 22,189
,,,Mar 23 – Mar 29,178
,,,Mar 30 – Apr 5,129
,,,Apr 6 – Apr 12,94
,,,Apr 13 – Apr 19,77
,,,Apr 20 – Apr 26,98
,,,Apr 27 – May 3,56
,,,May 4 – May 10,51
,,,May 11 – May 17,49
,,,May 18 – May 24,40
,,,May 25 – May 31,54
,,,Jun 1 – Jun 7,44
,,,Jun 8 – Jun 14,41
,,,Jun 15 – Jun 21,27
,,,Jun 22 – Jun 28,43
,,,Jun 29 – Jul 5,41
,,,Jul 6 – Jul 12,38
,,,Jul 13 – Jul 19,25
,,,Jul 20 – Jul 26,21
,,,Jul 27 – Aug 2,28
,,,Aug 3 – Aug 9,22
,,,Aug 10 – Aug 16,23
,,,Aug 17 – Aug 23,31
,,,Aug 24 – Aug 30,30
,,,Aug 31 – Sep 6,31
,,,Sep 7 – Sep 13,27
,,,Sep 14 – Sep 20,25
,,,Sep 21 – Sep 27,26
,,,Sep 28 – Oct 4,47
,,,Oct 5 – Oct 11,70
,,,Oct 12 – Oct 18,58
,,,Oct 19 – Oct 25,55
,,,Oct 26 – Oct 30,10 or fewer
,≥ 5 and < 18 Years,2025,Jan 5 – Jan 11,850
,,,Jan 12 – Jan 18,1849
,,,Jan 19 – Jan 25,2218
,,,Jan 26 – Feb 1,2573
,,,Feb 2 – Feb 8,2043
,,,Feb 9 – Feb 15,1510
,,,Feb 16 – Feb 22,963
,,,Feb 23 – Mar 1,741
,,,Mar 2 – Mar 8,618
,,,Mar 9 – Mar 15,515
,,,Mar 16 – Mar 22,339
,,,Mar 23 – Mar 29,266
,,,Mar 30 – Apr 5,241
,,,Apr 6 – Apr 12,227
,,,Apr 13 – Apr 19,220
,,,Apr 20 – Apr 26,176
,,,Apr 27 – May 3,179
,,,May 4 – May 10,171
,,,May 11 – May 17,180
,,,May 18 – May 24,169
,,,May 25 – May 31,150
,,,Jun 1 – Jun 7,102
,,,Jun 8 – Jun 14,87
,,,Jun 15 – Jun 21,76
,,,Jun 22 – Jun 28,69
,,,Jun 29 – Jul 5,44
,,,Jul 6 – Jul 12,42
,,,Jul 13 – Jul 19,39
,,,Jul 20 – Jul 26,28
,,,Jul 27 – Aug 2,18
,,,Aug 3 – Aug 9,23
,,,Aug 10 – Aug 16,33
,,,Aug 17 – Aug 23,42
,,,Aug 24 – Aug 30,62
,,,Aug 31 – Sep 6,74
,,,Sep 7 – Sep 13,45
,,,Sep 14 – Sep 20,68
,,,Sep 21 – Sep 27,117
,,,Sep 28 – Oct 4,119
,,,Oct 5 – Oct 11,154
,,,Oct 12 – Oct 18,160
,,,Oct 19 – Oct 25,141
,,,Oct 26 – Oct 30,10 or fewer
,≥ 18 and < 50 Years,2025,Jan 5 – Jan 11,2076
,,,Jan 12 – Jan 18,2342
,,,Jan 19 – Jan 25,2724
,,,Jan 26 – Feb 1,3169
,,,Feb 2 – Feb 8,2248
,,,Feb 9 – Feb 15,1644
,,,Feb 16 – Feb 22,1126
,,,Feb 23 – Mar 1,1007
,,,Mar 2 – Mar 8,733
,,,Mar 9 – Mar 15,605
,,,Mar 16 – Mar 22,562
,,,Mar 23 – Mar 29,486
,,,Mar 30 – Apr 5,340
,,,Apr 6 – Apr 12,260
,,,Apr 13 – Apr 19,253
,,,Apr 20 – Apr 26,243
,,,Apr 27 – May 3,199
,,,May 4 – May 10,154
,,,May 11 – May 17,150
,,,May 18 – May 24,149
,,,May 25 – May 31,175
,,,Jun 1 – Jun 7,177
,,,Jun 8 – Jun 14,148
,,,Jun 15 – Jun 21,109
,,,Jun 22 – Jun 28,100
,,,Jun 29 – Jul 5,107
,,,Jul 6 – Jul 12,68
,,,Jul 13 – Jul 19,48
,,,Jul 20 – Jul 26,55
,,,Jul 27 – Aug 2,62
,,,Aug 3 – Aug 9,46
,,,Aug 10 – Aug 16,47
,,,Aug 17 – Aug 23,58
,,,Aug 24 – Aug 30,49
,,,Aug 31 – Sep 6,58
,,,Sep 7 – Sep 13,44
,,,Sep 14 – Sep 20,53
,,,Sep 21 – Sep 27,53
,,,Sep 28 – Oct 4,76
,,,Oct 5 – Oct 11,106
,,,Oct 12 – Oct 18,125
,,,Oct 19 – Oct 25,111
,,,Oct 26 – Oct 30,10 or fewer
,≥ 50 and < 65 Years,2025,Jan 5 – Jan 11,727
,,,Jan 12 – Jan 18,819
,,,Jan 19 – Jan 25,993
,,,Jan 26 – Feb 1,1241
,,,Feb 2 – Feb 8,913
,,,Feb 9 – Feb 15,639
,,,Feb 16 – Feb 22,497
,,,Feb 23 – Mar 1,366
,,,Mar 2 – Mar 8,319
,,,Mar 9 – Mar 15,261
,,,Mar 16 – Mar 22,210
,,,Mar 23 – Mar 29,150
,,,Mar 30 – Apr 5,122
,,,Apr 6 – Apr 12,60
,,,Apr 13 – Apr 19,48
,,,Apr 20 – Apr 26,55
,,,Apr 27 – May 3,39
,,,May 4 – May 10,40
,,,May 11 – May 17,38
,,,May 18 – May 24,35
,,,May 25 – May 31,46
,,,Jun 1 – Jun 7,54
,,,Jun 8 – Jun 14,46
,,,Jun 15 – Jun 21,38
,,,Jun 22 – Jun 28,43
,,,Jun 29 – Jul 5,45
,,,Jul 6 – Jul 12,35
,,,Jul 13 – Jul 19,25
,,,Jul 20 – Jul 26,27
,,,Jul 27 – Aug 2,19
,,,Aug 3 – Aug 9,18
,,,Aug 10 – Aug 16,10 or fewer
,,,Aug 17 – Aug 23,19
,,,Aug 24 – Aug 30,22
,,,Aug 31 – Sep 6,14
,,,Sep 7 – Sep 13,19
,,,Sep 14 – Sep 20,16
,,,Sep 21 – Sep 27,22
,,,Sep 28 – Oct 4,27
,,,Oct 5 – Oct 11,28
,,,Oct 12 – Oct 18,34
,,,Oct 19 – Oct 25,18
,,,Oct 26 – Oct 30,10 or fewer
,65 Years or more,2025,Jan 5 – Jan 11,922
,,,Jan 12 – Jan 18,986
,,,Jan 19 – Jan 25,1143
,,,Jan 26 – Feb 1,1443
,,,Feb 2 – Feb 8,1151
,,,Feb 9 – Feb 15,904
,,,Feb 16 – Feb 22,688
,,,Feb 23 – Mar 1,518
,,,Mar 2 – Mar 8,425
,,,Mar 9 – Mar 15,343
,,,Mar 16 – Mar 22,275
,,,Mar 23 – Mar 29,245
,,,Mar 30 – Apr 5,141
,,,Apr 6 – Apr 12,93
,,,Apr 13 – Apr 19,71
,,,Apr 20 – Apr 26,68
,,,Apr 27 – May 3,60
,,,May 4 – May 10,53
,,,May 11 – May 17,55
,,,May 18 – May 24,51
,,,May 25 – May 31,62
,,,Jun 1 – Jun 7,71
,,,Jun 8 – Jun 14,76
,,,Jun 15 – Jun 21,55
,,,Jun 22 – Jun 28,37
,,,Jun 29 – Jul 5,38
,,,Jul 6 – Jul 12,40
,,,Jul 13 – Jul 19,35
,,,Jul 20 – Jul 26,33
,,,Jul 27 – Aug 2,20
,,,Aug 3 – Aug 9,29
,,,Aug 10 – Aug 16,19
,,,Aug 17 – Aug 23,25
,,,Aug 24 – Aug 30,41
,,,Aug 31 – Sep 6,31
,,,Sep 7 – Sep 13,32
,,,Sep 14 – Sep 20,26
,,,Sep 21 – Sep 27,29
,,,Sep 28 – Oct 4,34
,,,Oct 5 – Oct 11,45
,,,Oct 12 – Oct 18,37
,,,Oct 19 – Oct 25,31
,,,Oct 26 – Oct 30,10 or fewer
,No value,2025,Jan 5 – Jan 11,10 or fewer
,,,Jan 12 – Jan 18,10 or fewer
,,,Jan 19 – Jan 25,10 or fewer
,,,Jan 26 – Feb 1,10 or fewer
,,,Feb 2 – Feb 8,10 or fewer
,,,Feb 9 – Feb 15,10 or fewer
,,,Feb 16 – Feb 22,10 or fewer
,,,Feb 23 – Mar 1,10 or fewer
,,,Mar 2 – Mar 8,10 or fewer
,,,Mar 9 – Mar 15,10 or fewer
,,,Mar 16 – Mar 22,10 or fewer
,,,Mar 23 – Mar 29,10 or fewer
,,,Mar 30 – Apr 5,10 or fewer
,,,Apr 6 – Apr 12,10 or fewer
,,,Apr 13 – Apr 19,10 or fewer
,,,Apr 20 – Apr 26,10 or fewer
,,,Apr 27 – May 3,10 or fewer
,,,May 4 – May 10,10 or fewer
,,,May 11 – May 17,10 or fewer
,,,May 18 – May 24,10 or fewer
,,,May 25 – May 31,10 or fewer
,,,Jun 1 – Jun 7,10 or fewer
,,,Jun 8 – Jun 14,10 or fewer
,,,Jun 15 – Jun 21,10 or fewer
,,,Jun 22 – Jun 28,10 or fewer
,,,Jun 29 – Jul 5,10 or fewer
,,,Jul 6 – Jul 12,10 or fewer
,,,Jul 13 – Jul 19,10 or fewer
,,,Jul 20 – Jul 26,10 or fewer
,,,Jul 27 – Aug 2,10 or fewer
,,,Aug 3 – Aug 9,10 or fewer
,,,Aug 10 – Aug 16,10 or fewer
,,,Aug 17 – Aug 23,10 or fewer
