Session Title,RSV ED visits State Week Age,,,
Session Description,"long format of RSV ICD-10 codes from ED encounters, state week age",,,
Session ID,2726803,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"ED Diagnoses: Respiratory syncytial virus pneumonia( ICD-10-CM: J12.1 ), Respiratory syncytial virus as the cause of diseases classified elsewhere( ICD-10-CM: B97.4 ), Acute bronchitis due to respiratory syncytial virus( ICD-10-CM: J20.5 ), Acute bronchiolitis due to respiratory syncytial virus( ICD-10-CM: J21.0 )",,,
Session Date Range,12/29/2024 12:00 AM - 9/10/2025 12:00 AM (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,9/23/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,Year,Week,
Texas,Less than 1 Years,2024 – 2025,Dec 29 – Jan 4,618
,,2025,Jan 5 – Jan 11,364
,,,Jan 12 – Jan 18,204
,,,Jan 19 – Jan 25,185
,,,Jan 26 – Feb 1,160
,,,Feb 2 – Feb 8,120
,,,Feb 9 – Feb 15,102
,,,Feb 16 – Feb 22,100
,,,Feb 23 – Mar 1,84
,,,Mar 2 – Mar 8,72
,,,Mar 9 – Mar 15,93
,,,Mar 16 – Mar 22,60
,,,Mar 23 – Mar 29,41
,,,Mar 30 – Apr 5,45
,,,Apr 6 – Apr 12,43
,,,Apr 13 – Apr 19,36
,,,Apr 20 – Apr 26,19
,,,Apr 27 – May 3,26
,,,May 4 – May 10,21
,,,May 11 – May 17,10 or fewer
,,,May 18 – May 24,13
,,,May 25 – May 31,12
,,,Jun 1 – Jun 7,13
,,,Jun 8 – Jun 14,15
,,,Jun 15 – Jun 21,10 or fewer
,,,Jun 22 – Jun 28,10 or fewer
,,,Jun 29 – Jul 5,11
,,,Jul 6 – Jul 12,10 or fewer
,,,Jul 13 – Jul 19,10 or fewer
,,,Jul 20 – Jul 26,10 or fewer
,,,Jul 27 – Aug 2,10 or fewer
,,,Aug 3 – Aug 9,10 or fewer
,,,Aug 10 – Aug 16,11
,,,Aug 17 – Aug 23,14
,,,Aug 24 – Aug 30,11
,,,Aug 31 – Sep 6,14
,,,Sep 7 – Sep 10,10 or fewer
,≥ 1 and < 5 Years,2024 – 2025,Dec 29 – Jan 4,508
,,2025,Jan 5 – Jan 11,277
,,,Jan 12 – Jan 18,236
,,,Jan 19 – Jan 25,190
,,,Jan 26 – Feb 1,141
,,,Feb 2 – Feb 8,133
,,,Feb 9 – Feb 15,116
,,,Feb 16 – Feb 22,77
,,,Feb 23 – Mar 1,82
,,,Mar 2 – Mar 8,75
,,,Mar 9 – Mar 15,49
,,,Mar 16 – Mar 22,47
,,,Mar 23 – Mar 29,47
,,,Mar 30 – Apr 5,38
,,,Apr 6 – Apr 12,34
,,,Apr 13 – Apr 19,28
,,,Apr 20 – Apr 26,29
,,,Apr 27 – May 3,14
,,,May 4 – May 10,21
,,,May 11 – May 17,22
,,,May 18 – May 24,14
,,,May 25 – May 31,15
,,,Jun 1 – Jun 7,15
,,,Jun 8 – Jun 14,10 or fewer
,,,Jun 15 – Jun 21,10 or fewer
,,,Jun 22 – Jun 28,10 or fewer
,,,Jun 29 – Jul 5,10 or fewer
,,,Jul 6 – Jul 12,10 or fewer
,,,Jul 13 – Jul 19,11
,,,Jul 20 – Jul 26,17
,,,Jul 27 – Aug 2,10 or fewer
,,,Aug 3 – Aug 9,10 or fewer
,,,Aug 10 – Aug 16,12
,,,Aug 17 – Aug 23,12
,,,Aug 24 – Aug 30,14
,,,Aug 31 – Sep 6,14
,,,Sep 7 – Sep 10,10 or fewer
,≥ 5 and < 18 Years,2024 – 2025,Dec 29 – Jan 4,50
,,2025,Jan 5 – Jan 11,24
,,,Jan 12 – Jan 18,29
,,,Jan 19 – Jan 25,29
,,,Jan 26 – Feb 1,34
,,,Feb 2 – Feb 8,28
,,,Feb 9 – Feb 15,15
,,,Feb 16 – Feb 22,16
,,,Feb 23 – Mar 1,20
,,,Mar 2 – Mar 8,18
,,,Mar 9 – Mar 15,10 or fewer
,,,Mar 16 – Mar 22,10 or fewer
,,,Mar 23 – Mar 29,10 or fewer
,,,Mar 30 – Apr 5,10 or fewer
,,,Apr 6 – Apr 12,10 or fewer
,,,Apr 13 – Apr 19,10 or fewer
,,,Apr 20 – Apr 26,10 or fewer
,,,Apr 27 – May 3,10 or fewer
,,,May 4 – May 10,10 or fewer
,,,May 11 – May 17,10 or fewer
,,,May 18 – May 24,10 or fewer
,,,May 25 – May 31,10 or fewer
,,,Jun 1 – Jun 7,10 or fewer
,,,Jun 8 – Jun 14,10 or fewer
,,,Jun 15 – Jun 21,10 or fewer
,,,Jun 22 – Jun 28,10 or fewer
,,,Jun 29 – Jul 5,10 or fewer
,,,Jul 6 – Jul 12,10 or fewer
,,,Jul 13 – Jul 19,10 or fewer
,,,Jul 20 – Jul 26,10 or fewer
,,,Jul 27 – Aug 2,10 or fewer
,,,Aug 3 – Aug 9,10 or fewer
,,,Aug 10 – Aug 16,10 or fewer
,,,Aug 17 – Aug 23,10 or fewer
,,,Aug 24 – Aug 30,10 or fewer
,,,Aug 31 – Sep 6,10 or fewer
,,,Sep 7 – Sep 10,10 or fewer
,≥ 18 and < 50 Years,2024 – 2025,Dec 29 – Jan 4,86
,,2025,Jan 5 – Jan 11,75
,,,Jan 12 – Jan 18,57
,,,Jan 19 – Jan 25,32
,,,Jan 26 – Feb 1,57
,,,Feb 2 – Feb 8,24
,,,Feb 9 – Feb 15,35
,,,Feb 16 – Feb 22,16
,,,Feb 23 – Mar 1,23
,,,Mar 2 – Mar 8,15
,,,Mar 9 – Mar 15,13
,,,Mar 16 – Mar 22,18
,,,Mar 23 – Mar 29,10 or fewer
,,,Mar 30 – Apr 5,10 or fewer
,,,Apr 6 – Apr 12,16
,,,Apr 13 – Apr 19,10 or fewer
,,,Apr 20 – Apr 26,10 or fewer
,,,Apr 27 – May 3,10 or fewer
,,,May 4 – May 10,10 or fewer
,,,May 11 – May 17,10 or fewer
,,,May 18 – May 24,10 or fewer
,,,May 25 – May 31,10 or fewer
,,,Jun 1 – Jun 7,10 or fewer
,,,Jun 8 – Jun 14,10 or fewer
,,,Jun 15 – Jun 21,10 or fewer
,,,Jun 22 – Jun 28,10 or fewer
,,,Jun 29 – Jul 5,10 or fewer
,,,Jul 6 – Jul 12,10 or fewer
,,,Jul 13 – Jul 19,10 or fewer
,,,Jul 20 – Jul 26,10 or fewer
,,,Jul 27 – Aug 2,10 or fewer
,,,Aug 3 – Aug 9,10 or fewer
,,,Aug 10 – Aug 16,10 or fewer
,,,Aug 17 – Aug 23,10 or fewer
,,,Aug 24 – Aug 30,10 or fewer
,,,Aug 31 – Sep 6,10 or fewer
,,,Sep 7 – Sep 10,10 or fewer
,≥ 50 and < 65 Years,2024 – 2025,Dec 29 – Jan 4,46
,,2025,Jan 5 – Jan 11,37
,,,Jan 12 – Jan 18,44
,,,Jan 19 – Jan 25,27
,,,Jan 26 – Feb 1,23
,,,Feb 2 – Feb 8,31
,,,Feb 9 – Feb 15,20
,,,Feb 16 – Feb 22,19
,,,Feb 23 – Mar 1,18
,,,Mar 2 – Mar 8,21
,,,Mar 9 – Mar 15,13
,,,Mar 16 – Mar 22,12
,,,Mar 23 – Mar 29,10 or fewer
,,,Mar 30 – Apr 5,10 or fewer
,,,Apr 6 – Apr 12,10 or fewer
,,,Apr 13 – Apr 19,10 or fewer
,,,Apr 20 – Apr 26,10 or fewer
,,,Apr 27 – May 3,10 or fewer
,,,May 4 – May 10,10 or fewer
,,,May 11 – May 17,10 or fewer
,,,May 18 – May 24,10 or fewer
,,,May 25 – May 31,10 or fewer
,,,Jun 1 – Jun 7,10 or fewer
,,,Jun 8 – Jun 14,10 or fewer
,,,Jun 15 – Jun 21,10 or fewer
,,,Jun 22 – Jun 28,10 or fewer
,,,Jun 29 – Jul 5,10 or fewer
,,,Jul 6 – Jul 12,10 or fewer
,,,Jul 13 – Jul 19,10 or fewer
,,,Jul 20 – Jul 26,10 or fewer
,,,Jul 27 – Aug 2,10 or fewer
,,,Aug 3 – Aug 9,10 or fewer
,,,Aug 10 – Aug 16,10 or fewer
,,,Aug 17 – Aug 23,10 or fewer
,,,Aug 24 – Aug 30,10 or fewer
,,,Aug 31 – Sep 6,10 or fewer
,,,Sep 7 – Sep 10,10 or fewer
,65 Years or more,2024 – 2025,Dec 29 – Jan 4,103
,,2025,Jan 5 – Jan 11,83
,,,Jan 12 – Jan 18,81
,,,Jan 19 – Jan 25,59
,,,Jan 26 – Feb 1,59
,,,Feb 2 – Feb 8,46
,,,Feb 9 – Feb 15,43
,,,Feb 16 – Feb 22,35
,,,Feb 23 – Mar 1,36
,,,Mar 2 – Mar 8,24
,,,Mar 9 – Mar 15,24
