"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Cache County, UT","49005","Under 15 years","15",Suppressed
,"Cache County, UT","49005","15-19 years","15-19",35
,"Cache County, UT","49005","20-24 years","20-24",420
,"Cache County, UT","49005","25-29 years","25-29",783
,"Cache County, UT","49005","30-34 years","30-34",479
,"Cache County, UT","49005","35-39 years","35-39",201
,"Cache County, UT","49005","40-44 years","40-44",46
,"Cache County, UT","49005","45-49 years","45-49",Suppressed
,"Cache County, UT","49005","50 years and over","50+",Suppressed
,"Davis County, UT","49011","Under 15 years","15",Suppressed
,"Davis County, UT","49011","15-19 years","15-19",88
,"Davis County, UT","49011","20-24 years","20-24",713
,"Davis County, UT","49011","25-29 years","25-29",1696
,"Davis County, UT","49011","30-34 years","30-34",1444
,"Davis County, UT","49011","35-39 years","35-39",619
,"Davis County, UT","49011","40-44 years","40-44",125
,"Davis County, UT","49011","45-49 years","45-49",11
,"Davis County, UT","49011","50 years and over","50+",0
,"Salt Lake County, UT","49035","Under 15 years","15",Suppressed
,"Salt Lake County, UT","49035","15-19 years","15-19",476
,"Salt Lake County, UT","49035","20-24 years","20-24",2254
,"Salt Lake County, UT","49035","25-29 years","25-29",4372
,"Salt Lake County, UT","49035","30-34 years","30-34",4299
,"Salt Lake County, UT","49035","35-39 years","35-39",2274
,"Salt Lake County, UT","49035","40-44 years","40-44",487
,"Salt Lake County, UT","49035","45-49 years","45-49",43
,"Salt Lake County, UT","49035","50 years and over","50+",Suppressed
,"Utah County, UT","49049","Under 15 years","15",Suppressed
,"Utah County, UT","49049","15-19 years","15-19",184
,"Utah County, UT","49049","20-24 years","20-24",2199
,"Utah County, UT","49049","25-29 years","25-29",4806
,"Utah County, UT","49049","30-34 years","30-34",3335
,"Utah County, UT","49049","35-39 years","35-39",1233
,"Utah County, UT","49049","40-44 years","40-44",270
,"Utah County, UT","49049","45-49 years","45-49",20
,"Utah County, UT","49049","50 years and over","50+",Suppressed
,"Washington County, UT","49053","Under 15 years","15",0
,"Washington County, UT","49053","15-19 years","15-19",67
,"Washington County, UT","49053","20-24 years","20-24",547
,"Washington County, UT","49053","25-29 years","25-29",824
,"Washington County, UT","49053","30-34 years","30-34",596
,"Washington County, UT","49053","35-39 years","35-39",250
,"Washington County, UT","49053","40-44 years","40-44",67
,"Washington County, UT","49053","45-49 years","45-49",Suppressed
,"Washington County, UT","49053","50 years and over","50+",0
,"Weber County, UT","49057","Under 15 years","15",0
,"Weber County, UT","49057","15-19 years","15-19",104
,"Weber County, UT","49057","20-24 years","20-24",677
,"Weber County, UT","49057","25-29 years","25-29",1220
,"Weber County, UT","49057","30-34 years","30-34",910
,"Weber County, UT","49057","35-39 years","35-39",344
,"Weber County, UT","49057","40-44 years","40-44",69
,"Weber County, UT","49057","45-49 years","45-49",Suppressed
,"Weber County, UT","49057","50 years and over","50+",0
,"Unidentified Counties, UT","49999","Under 15 years","15",Suppressed
,"Unidentified Counties, UT","49999","15-19 years","15-19",248
,"Unidentified Counties, UT","49999","20-24 years","20-24",1484
,"Unidentified Counties, UT","49999","25-29 years","25-29",2186
,"Unidentified Counties, UT","49999","30-34 years","30-34",1552
,"Unidentified Counties, UT","49999","35-39 years","35-39",746
,"Unidentified Counties, UT","49999","40-44 years","40-44",181
,"Unidentified Counties, UT","49999","45-49 years","45-49",11
,"Unidentified Counties, UT","49999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Utah (49)"
"Year: 2023"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 8:17:55 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 8:17:55 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
