"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Bernalillo County, NM","35001","Under 15 years","15",Suppressed
,"Bernalillo County, NM","35001","15-19 years","15-19",251
,"Bernalillo County, NM","35001","20-24 years","20-24",1213
,"Bernalillo County, NM","35001","25-29 years","25-29",1739
,"Bernalillo County, NM","35001","30-34 years","30-34",1733
,"Bernalillo County, NM","35001","35-39 years","35-39",1009
,"Bernalillo County, NM","35001","40-44 years","40-44",214
,"Bernalillo County, NM","35001","45-49 years","45-49",Suppressed
,"Bernalillo County, NM","35001","50 years and over","50+",0
,"Dona Ana County, NM","35013","Under 15 years","15",Suppressed
,"Dona Ana County, NM","35013","15-19 years","15-19",165
,"Dona Ana County, NM","35013","20-24 years","20-24",634
,"Dona Ana County, NM","35013","25-29 years","25-29",763
,"Dona Ana County, NM","35013","30-34 years","30-34",612
,"Dona Ana County, NM","35013","35-39 years","35-39",277
,"Dona Ana County, NM","35013","40-44 years","40-44",46
,"Dona Ana County, NM","35013","45-49 years","45-49",Suppressed
,"Dona Ana County, NM","35013","50 years and over","50+",Suppressed
,"Sandoval County, NM","35043","Under 15 years","15",0
,"Sandoval County, NM","35043","15-19 years","15-19",40
,"Sandoval County, NM","35043","20-24 years","20-24",216
,"Sandoval County, NM","35043","25-29 years","25-29",371
,"Sandoval County, NM","35043","30-34 years","30-34",380
,"Sandoval County, NM","35043","35-39 years","35-39",203
,"Sandoval County, NM","35043","40-44 years","40-44",48
,"Sandoval County, NM","35043","45-49 years","45-49",Suppressed
,"Sandoval County, NM","35043","50 years and over","50+",0
,"San Juan County, NM","35045","Under 15 years","15",Suppressed
,"San Juan County, NM","35045","15-19 years","15-19",85
,"San Juan County, NM","35045","20-24 years","20-24",290
,"San Juan County, NM","35045","25-29 years","25-29",356
,"San Juan County, NM","35045","30-34 years","30-34",267
,"San Juan County, NM","35045","35-39 years","35-39",145
,"San Juan County, NM","35045","40-44 years","40-44",34
,"San Juan County, NM","35045","45-49 years","45-49",0
,"San Juan County, NM","35045","50 years and over","50+",0
,"Santa Fe County, NM","35049","Under 15 years","15",Suppressed
,"Santa Fe County, NM","35049","15-19 years","15-19",45
,"Santa Fe County, NM","35049","20-24 years","20-24",179
,"Santa Fe County, NM","35049","25-29 years","25-29",298
,"Santa Fe County, NM","35049","30-34 years","30-34",300
,"Santa Fe County, NM","35049","35-39 years","35-39",203
,"Santa Fe County, NM","35049","40-44 years","40-44",57
,"Santa Fe County, NM","35049","45-49 years","45-49",Suppressed
,"Santa Fe County, NM","35049","50 years and over","50+",0
,"Unidentified Counties, NM","35999","Under 15 years","15",Suppressed
,"Unidentified Counties, NM","35999","15-19 years","15-19",681
,"Unidentified Counties, NM","35999","20-24 years","20-24",2340
,"Unidentified Counties, NM","35999","25-29 years","25-29",2624
,"Unidentified Counties, NM","35999","30-34 years","30-34",1946
,"Unidentified Counties, NM","35999","35-39 years","35-39",929
,"Unidentified Counties, NM","35999","40-44 years","40-44",212
,"Unidentified Counties, NM","35999","45-49 years","45-49",13
,"Unidentified Counties, NM","35999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New Mexico (35)"
"Year: 2023"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 8:04:21 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 8:04:21 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
