"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Brown County, WI","55009","Hispanic or Latino","2135-2",466
,"Brown County, WI","55009","Not Hispanic or Latino","2186-5",2594
,"Brown County, WI","55009","Unknown or Not Stated","9",0
,"Dane County, WI","55025","Hispanic or Latino","2135-2",579
,"Dane County, WI","55025","Not Hispanic or Latino","2186-5",5063
,"Dane County, WI","55025","Unknown or Not Stated","9",53
,"Fond du Lac County, WI","55039","Hispanic or Latino","2135-2",118
,"Fond du Lac County, WI","55039","Not Hispanic or Latino","2186-5",919
,"Fond du Lac County, WI","55039","Unknown or Not Stated","9",Suppressed
,"Kenosha County, WI","55059","Hispanic or Latino","2135-2",319
,"Kenosha County, WI","55059","Not Hispanic or Latino","2186-5",1415
,"Kenosha County, WI","55059","Unknown or Not Stated","9",10
,"La Crosse County, WI","55063","Hispanic or Latino","2135-2",45
,"La Crosse County, WI","55063","Not Hispanic or Latino","2186-5",1105
,"La Crosse County, WI","55063","Unknown or Not Stated","9",0
,"Marathon County, WI","55073","Hispanic or Latino","2135-2",76
,"Marathon County, WI","55073","Not Hispanic or Latino","2186-5",1327
,"Marathon County, WI","55073","Unknown or Not Stated","9",16
,"Milwaukee County, WI","55079","Hispanic or Latino","2135-2",2423
,"Milwaukee County, WI","55079","Not Hispanic or Latino","2186-5",9533
,"Milwaukee County, WI","55079","Unknown or Not Stated","9",34
,"Outagamie County, WI","55087","Hispanic or Latino","2135-2",149
,"Outagamie County, WI","55087","Not Hispanic or Latino","2186-5",2032
,"Outagamie County, WI","55087","Unknown or Not Stated","9",Suppressed
,"Racine County, WI","55101","Hispanic or Latino","2135-2",447
,"Racine County, WI","55101","Not Hispanic or Latino","2186-5",1765
,"Racine County, WI","55101","Unknown or Not Stated","9",15
,"Rock County, WI","55105","Hispanic or Latino","2135-2",250
,"Rock County, WI","55105","Not Hispanic or Latino","2186-5",1518
,"Rock County, WI","55105","Unknown or Not Stated","9",Suppressed
,"Sheboygan County, WI","55117","Hispanic or Latino","2135-2",124
,"Sheboygan County, WI","55117","Not Hispanic or Latino","2186-5",1000
,"Sheboygan County, WI","55117","Unknown or Not Stated","9",Suppressed
,"Walworth County, WI","55127","Hispanic or Latino","2135-2",145
,"Walworth County, WI","55127","Not Hispanic or Latino","2186-5",769
,"Walworth County, WI","55127","Unknown or Not Stated","9",Suppressed
,"Washington County, WI","55131","Hispanic or Latino","2135-2",69
,"Washington County, WI","55131","Not Hispanic or Latino","2186-5",1223
,"Washington County, WI","55131","Unknown or Not Stated","9",0
,"Waukesha County, WI","55133","Hispanic or Latino","2135-2",275
,"Waukesha County, WI","55133","Not Hispanic or Latino","2186-5",3635
,"Waukesha County, WI","55133","Unknown or Not Stated","9",Suppressed
,"Winnebago County, WI","55139","Hispanic or Latino","2135-2",131
,"Winnebago County, WI","55139","Not Hispanic or Latino","2186-5",1622
,"Winnebago County, WI","55139","Unknown or Not Stated","9",Suppressed
,"Unidentified Counties, WI","55999","Hispanic or Latino","2135-2",1307
,"Unidentified Counties, WI","55999","Not Hispanic or Latino","2186-5",19087
,"Unidentified Counties, WI","55999","Unknown or Not Stated","9",101
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Wisconsin (55)"
"Year: 2021"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 3:48:19 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 3:48:19 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
