"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Boone County, KY","21015","American Indian or Alaska Native","1002-5",Suppressed
,"Boone County, KY","21015","Asian","A",65
,"Boone County, KY","21015","Black or African American","2054-5",178
,"Boone County, KY","21015","Native Hawaiian or Other Pacific Islander","NHOPI",11
,"Boone County, KY","21015","White","2106-3",1454
,"Boone County, KY","21015","More than one race","M",33
,"Boone County, KY","21015","Unknown or Not Stated","UNK",0
,"Boone County, KY","21015","Not Available","NA",0
,"Boone County, KY","21015","Not Reported","NR",0
,"Fayette County, KY","21067","American Indian or Alaska Native","1002-5",Suppressed
,"Fayette County, KY","21067","Asian","A",153
,"Fayette County, KY","21067","Black or African American","2054-5",792
,"Fayette County, KY","21067","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Fayette County, KY","21067","White","2106-3",2599
,"Fayette County, KY","21067","More than one race","M",119
,"Fayette County, KY","21067","Unknown or Not Stated","UNK",0
,"Fayette County, KY","21067","Not Available","NA",0
,"Fayette County, KY","21067","Not Reported","NR",0
,"Hardin County, KY","21093","American Indian or Alaska Native","1002-5",Suppressed
,"Hardin County, KY","21093","Asian","A",40
,"Hardin County, KY","21093","Black or African American","2054-5",167
,"Hardin County, KY","21093","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Hardin County, KY","21093","White","2106-3",1154
,"Hardin County, KY","21093","More than one race","M",58
,"Hardin County, KY","21093","Unknown or Not Stated","UNK",0
,"Hardin County, KY","21093","Not Available","NA",0
,"Hardin County, KY","21093","Not Reported","NR",0
,"Jefferson County, KY","21111","American Indian or Alaska Native","1002-5",36
,"Jefferson County, KY","21111","Asian","A",434
,"Jefferson County, KY","21111","Black or African American","2054-5",2683
,"Jefferson County, KY","21111","Native Hawaiian or Other Pacific Islander","NHOPI",19
,"Jefferson County, KY","21111","White","2106-3",5936
,"Jefferson County, KY","21111","More than one race","M",266
,"Jefferson County, KY","21111","Unknown or Not Stated","UNK",0
,"Jefferson County, KY","21111","Not Available","NA",0
,"Jefferson County, KY","21111","Not Reported","NR",0
,"Kenton County, KY","21117","American Indian or Alaska Native","1002-5",Suppressed
,"Kenton County, KY","21117","Asian","A",41
,"Kenton County, KY","21117","Black or African American","2054-5",172
,"Kenton County, KY","21117","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Kenton County, KY","21117","White","2106-3",1891
,"Kenton County, KY","21117","More than one race","M",46
,"Kenton County, KY","21117","Unknown or Not Stated","UNK",0
,"Kenton County, KY","21117","Not Available","NA",0
,"Kenton County, KY","21117","Not Reported","NR",0
,"Warren County, KY","21227","American Indian or Alaska Native","1002-5",Suppressed
,"Warren County, KY","21227","Asian","A",108
,"Warren County, KY","21227","Black or African American","2054-5",234
,"Warren County, KY","21227","Native Hawaiian or Other Pacific Islander","NHOPI",20
,"Warren County, KY","21227","White","2106-3",1424
,"Warren County, KY","21227","More than one race","M",30
,"Warren County, KY","21227","Unknown or Not Stated","UNK",0
,"Warren County, KY","21227","Not Available","NA",0
,"Warren County, KY","21227","Not Reported","NR",0
,"Unidentified Counties, KY","21999","American Indian or Alaska Native","1002-5",36
,"Unidentified Counties, KY","21999","Asian","A",268
,"Unidentified Counties, KY","21999","Black or African American","2054-5",1246
,"Unidentified Counties, KY","21999","Native Hawaiian or Other Pacific Islander","NHOPI",46
,"Unidentified Counties, KY","21999","White","2106-3",29909
,"Unidentified Counties, KY","21999","More than one race","M",509
,"Unidentified Counties, KY","21999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, KY","21999","Not Available","NA",0
,"Unidentified Counties, KY","21999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Kentucky (21)"
"Year: 2021"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 2:17:39 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 2:17:39 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
