"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Androscoggin County, ME","23001","American Indian or Alaska Native","1002-5",Suppressed
,"Androscoggin County, ME","23001","Asian","A",12
,"Androscoggin County, ME","23001","Black or African American","2054-5",172
,"Androscoggin County, ME","23001","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Androscoggin County, ME","23001","White","2106-3",899
,"Androscoggin County, ME","23001","More than one race","M",34
,"Androscoggin County, ME","23001","Unknown or Not Stated","UNK",0
,"Androscoggin County, ME","23001","Not Available","NA",0
,"Androscoggin County, ME","23001","Not Reported","NR",0
,"Cumberland County, ME","23005","American Indian or Alaska Native","1002-5",10
,"Cumberland County, ME","23005","Asian","A",92
,"Cumberland County, ME","23005","Black or African American","2054-5",284
,"Cumberland County, ME","23005","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Cumberland County, ME","23005","White","2106-3",2437
,"Cumberland County, ME","23005","More than one race","M",46
,"Cumberland County, ME","23005","Unknown or Not Stated","UNK",0
,"Cumberland County, ME","23005","Not Available","NA",0
,"Cumberland County, ME","23005","Not Reported","NR",0
,"Kennebec County, ME","23011","American Indian or Alaska Native","1002-5",Suppressed
,"Kennebec County, ME","23011","Asian","A",20
,"Kennebec County, ME","23011","Black or African American","2054-5",Suppressed
,"Kennebec County, ME","23011","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Kennebec County, ME","23011","White","2106-3",1024
,"Kennebec County, ME","23011","More than one race","M",41
,"Kennebec County, ME","23011","Unknown or Not Stated","UNK",0
,"Kennebec County, ME","23011","Not Available","NA",0
,"Kennebec County, ME","23011","Not Reported","NR",0
,"Penobscot County, ME","23019","American Indian or Alaska Native","1002-5",10
,"Penobscot County, ME","23019","Asian","A",24
,"Penobscot County, ME","23019","Black or African American","2054-5",37
,"Penobscot County, ME","23019","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Penobscot County, ME","23019","White","2106-3",1186
,"Penobscot County, ME","23019","More than one race","M",40
,"Penobscot County, ME","23019","Unknown or Not Stated","UNK",0
,"Penobscot County, ME","23019","Not Available","NA",0
,"Penobscot County, ME","23019","Not Reported","NR",0
,"York County, ME","23031","American Indian or Alaska Native","1002-5",Suppressed
,"York County, ME","23031","Asian","A",27
,"York County, ME","23031","Black or African American","2054-5",36
,"York County, ME","23031","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"York County, ME","23031","White","2106-3",1740
,"York County, ME","23031","More than one race","M",47
,"York County, ME","23031","Unknown or Not Stated","UNK",0
,"York County, ME","23031","Not Available","NA",0
,"York County, ME","23031","Not Reported","NR",0
,"Unidentified Counties, ME","23999","American Indian or Alaska Native","1002-5",46
,"Unidentified Counties, ME","23999","Asian","A",36
,"Unidentified Counties, ME","23999","Black or African American","2054-5",26
,"Unidentified Counties, ME","23999","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Unidentified Counties, ME","23999","White","2106-3",3591
,"Unidentified Counties, ME","23999","More than one race","M",59
,"Unidentified Counties, ME","23999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, ME","23999","Not Available","NA",0
,"Unidentified Counties, ME","23999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Maine (23)"
"Year: 2021"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 2:19:50 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 2:19:50 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
