"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Ada County, ID","16001","American Indian or Alaska Native","1002-5",30
,"Ada County, ID","16001","Asian","A",190
,"Ada County, ID","16001","Black or African American","2054-5",184
,"Ada County, ID","16001","Native Hawaiian or Other Pacific Islander","NHOPI",29
,"Ada County, ID","16001","White","2106-3",4503
,"Ada County, ID","16001","More than one race","M",148
,"Ada County, ID","16001","Unknown or Not Stated","UNK",0
,"Ada County, ID","16001","Not Available","NA",0
,"Ada County, ID","16001","Not Reported","NR",0
,"Bonneville County, ID","16019","American Indian or Alaska Native","1002-5",14
,"Bonneville County, ID","16019","Asian","A",17
,"Bonneville County, ID","16019","Black or African American","2054-5",10
,"Bonneville County, ID","16019","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Bonneville County, ID","16019","White","2106-3",1741
,"Bonneville County, ID","16019","More than one race","M",34
,"Bonneville County, ID","16019","Unknown or Not Stated","UNK",0
,"Bonneville County, ID","16019","Not Available","NA",0
,"Bonneville County, ID","16019","Not Reported","NR",0
,"Canyon County, ID","16027","American Indian or Alaska Native","1002-5",42
,"Canyon County, ID","16027","Asian","A",35
,"Canyon County, ID","16027","Black or African American","2054-5",29
,"Canyon County, ID","16027","Native Hawaiian or Other Pacific Islander","NHOPI",16
,"Canyon County, ID","16027","White","2106-3",3049
,"Canyon County, ID","16027","More than one race","M",85
,"Canyon County, ID","16027","Unknown or Not Stated","UNK",0
,"Canyon County, ID","16027","Not Available","NA",0
,"Canyon County, ID","16027","Not Reported","NR",0
,"Kootenai County, ID","16055","American Indian or Alaska Native","1002-5",21
,"Kootenai County, ID","16055","Asian","A",30
,"Kootenai County, ID","16055","Black or African American","2054-5",Suppressed
,"Kootenai County, ID","16055","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Kootenai County, ID","16055","White","2106-3",1747
,"Kootenai County, ID","16055","More than one race","M",71
,"Kootenai County, ID","16055","Unknown or Not Stated","UNK",0
,"Kootenai County, ID","16055","Not Available","NA",0
,"Kootenai County, ID","16055","Not Reported","NR",0
,"Unidentified Counties, ID","16999","American Indian or Alaska Native","1002-5",247
,"Unidentified Counties, ID","16999","Asian","A",138
,"Unidentified Counties, ID","16999","Black or African American","2054-5",82
,"Unidentified Counties, ID","16999","Native Hawaiian or Other Pacific Islander","NHOPI",25
,"Unidentified Counties, ID","16999","White","2106-3",9695
,"Unidentified Counties, ID","16999","More than one race","M",198
,"Unidentified Counties, ID","16999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, ID","16999","Not Available","NA",0
,"Unidentified Counties, ID","16999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Idaho (16)"
"Year: 2021"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 2:12:14 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 2:12:14 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
