"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Black Hawk County, IA","19013","Under 15 years","15",Suppressed
,"Black Hawk County, IA","19013","15-19 years","15-19",83
,"Black Hawk County, IA","19013","20-24 years","20-24",298
,"Black Hawk County, IA","19013","25-29 years","25-29",534
,"Black Hawk County, IA","19013","30-34 years","30-34",480
,"Black Hawk County, IA","19013","35-39 years","35-39",184
,"Black Hawk County, IA","19013","40-44 years","40-44",46
,"Black Hawk County, IA","19013","45-49 years","45-49",0
,"Black Hawk County, IA","19013","50 years and over","50+",0
,"Johnson County, IA","19103","Under 15 years","15",Suppressed
,"Johnson County, IA","19103","15-19 years","15-19",28
,"Johnson County, IA","19103","20-24 years","20-24",189
,"Johnson County, IA","19103","25-29 years","25-29",433
,"Johnson County, IA","19103","30-34 years","30-34",631
,"Johnson County, IA","19103","35-39 years","35-39",301
,"Johnson County, IA","19103","40-44 years","40-44",66
,"Johnson County, IA","19103","45-49 years","45-49",Suppressed
,"Johnson County, IA","19103","50 years and over","50+",0
,"Linn County, IA","19113","Under 15 years","15",Suppressed
,"Linn County, IA","19113","15-19 years","15-19",97
,"Linn County, IA","19113","20-24 years","20-24",425
,"Linn County, IA","19113","25-29 years","25-29",843
,"Linn County, IA","19113","30-34 years","30-34",813
,"Linn County, IA","19113","35-39 years","35-39",317
,"Linn County, IA","19113","40-44 years","40-44",74
,"Linn County, IA","19113","45-49 years","45-49",Suppressed
,"Linn County, IA","19113","50 years and over","50+",0
,"Polk County, IA","19153","Under 15 years","15",Suppressed
,"Polk County, IA","19153","15-19 years","15-19",238
,"Polk County, IA","19153","20-24 years","20-24",1038
,"Polk County, IA","19153","25-29 years","25-29",1989
,"Polk County, IA","19153","30-34 years","30-34",2051
,"Polk County, IA","19153","35-39 years","35-39",998
,"Polk County, IA","19153","40-44 years","40-44",159
,"Polk County, IA","19153","45-49 years","45-49",12
,"Polk County, IA","19153","50 years and over","50+",0
,"Scott County, IA","19163","Under 15 years","15",Suppressed
,"Scott County, IA","19163","15-19 years","15-19",90
,"Scott County, IA","19163","20-24 years","20-24",346
,"Scott County, IA","19163","25-29 years","25-29",538
,"Scott County, IA","19163","30-34 years","30-34",594
,"Scott County, IA","19163","35-39 years","35-39",259
,"Scott County, IA","19163","40-44 years","40-44",38
,"Scott County, IA","19163","45-49 years","45-49",Suppressed
,"Scott County, IA","19163","50 years and over","50+",0
,"Woodbury County, IA","19193","Under 15 years","15",0
,"Woodbury County, IA","19193","15-19 years","15-19",71
,"Woodbury County, IA","19193","20-24 years","20-24",308
,"Woodbury County, IA","19193","25-29 years","25-29",467
,"Woodbury County, IA","19193","30-34 years","30-34",348
,"Woodbury County, IA","19193","35-39 years","35-39",162
,"Woodbury County, IA","19193","40-44 years","40-44",41
,"Woodbury County, IA","19193","45-49 years","45-49",Suppressed
,"Woodbury County, IA","19193","50 years and over","50+",0
,"Unidentified Counties, IA","19999","Under 15 years","15",11
,"Unidentified Counties, IA","19999","15-19 years","15-19",756
,"Unidentified Counties, IA","19999","20-24 years","20-24",3946
,"Unidentified Counties, IA","19999","25-29 years","25-29",7289
,"Unidentified Counties, IA","19999","30-34 years","30-34",6280
,"Unidentified Counties, IA","19999","35-39 years","35-39",2479
,"Unidentified Counties, IA","19999","40-44 years","40-44",442
,"Unidentified Counties, IA","19999","45-49 years","45-49",16
,"Unidentified Counties, IA","19999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Iowa (19)"
"Year: 2021"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 11:37:13 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 11:37:13 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
