"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Boone County, KY","21015","American Indian or Alaska Native","1002-5",Suppressed
,"Boone County, KY","21015","Asian","A",59
,"Boone County, KY","21015","Black or African American","2054-5",161
,"Boone County, KY","21015","Native Hawaiian or Other Pacific Islander","NHOPI",18
,"Boone County, KY","21015","White","2106-3",1416
,"Boone County, KY","21015","More than one race","M",37
,"Boone County, KY","21015","Unknown or Not Stated","UNK",0
,"Boone County, KY","21015","Not Available","NA",0
,"Boone County, KY","21015","Not Reported","NR",0
,"Fayette County, KY","21067","American Indian or Alaska Native","1002-5",Suppressed
,"Fayette County, KY","21067","Asian","A",176
,"Fayette County, KY","21067","Black or African American","2054-5",721
,"Fayette County, KY","21067","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Fayette County, KY","21067","White","2106-3",2673
,"Fayette County, KY","21067","More than one race","M",130
,"Fayette County, KY","21067","Unknown or Not Stated","UNK",0
,"Fayette County, KY","21067","Not Available","NA",0
,"Fayette County, KY","21067","Not Reported","NR",0
,"Hardin County, KY","21093","American Indian or Alaska Native","1002-5",Suppressed
,"Hardin County, KY","21093","Asian","A",29
,"Hardin County, KY","21093","Black or African American","2054-5",146
,"Hardin County, KY","21093","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Hardin County, KY","21093","White","2106-3",1017
,"Hardin County, KY","21093","More than one race","M",62
,"Hardin County, KY","21093","Unknown or Not Stated","UNK",0
,"Hardin County, KY","21093","Not Available","NA",0
,"Hardin County, KY","21093","Not Reported","NR",0
,"Jefferson County, KY","21111","American Indian or Alaska Native","1002-5",31
,"Jefferson County, KY","21111","Asian","A",460
,"Jefferson County, KY","21111","Black or African American","2054-5",2737
,"Jefferson County, KY","21111","Native Hawaiian or Other Pacific Islander","NHOPI",18
,"Jefferson County, KY","21111","White","2106-3",6011
,"Jefferson County, KY","21111","More than one race","M",248
,"Jefferson County, KY","21111","Unknown or Not Stated","UNK",0
,"Jefferson County, KY","21111","Not Available","NA",0
,"Jefferson County, KY","21111","Not Reported","NR",0
,"Kenton County, KY","21117","American Indian or Alaska Native","1002-5",Suppressed
,"Kenton County, KY","21117","Asian","A",32
,"Kenton County, KY","21117","Black or African American","2054-5",162
,"Kenton County, KY","21117","Native Hawaiian or Other Pacific Islander","NHOPI",16
,"Kenton County, KY","21117","White","2106-3",1912
,"Kenton County, KY","21117","More than one race","M",49
,"Kenton County, KY","21117","Unknown or Not Stated","UNK",0
,"Kenton County, KY","21117","Not Available","NA",0
,"Kenton County, KY","21117","Not Reported","NR",0
,"Warren County, KY","21227","American Indian or Alaska Native","1002-5",Suppressed
,"Warren County, KY","21227","Asian","A",113
,"Warren County, KY","21227","Black or African American","2054-5",264
,"Warren County, KY","21227","Native Hawaiian or Other Pacific Islander","NHOPI",28
,"Warren County, KY","21227","White","2106-3",1448
,"Warren County, KY","21227","More than one race","M",36
,"Warren County, KY","21227","Unknown or Not Stated","UNK",0
,"Warren County, KY","21227","Not Available","NA",0
,"Warren County, KY","21227","Not Reported","NR",0
,"Unidentified Counties, KY","21999","American Indian or Alaska Native","1002-5",55
,"Unidentified Counties, KY","21999","Asian","A",339
,"Unidentified Counties, KY","21999","Black or African American","2054-5",1238
,"Unidentified Counties, KY","21999","Native Hawaiian or Other Pacific Islander","NHOPI",58
,"Unidentified Counties, KY","21999","White","2106-3",29841
,"Unidentified Counties, KY","21999","More than one race","M",545
,"Unidentified Counties, KY","21999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, KY","21999","Not Available","NA",0
,"Unidentified Counties, KY","21999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Kentucky (21)"
"Year: 2022"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 5:59:43 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 5:59:43 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
