"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Clackamas County, OR","41005","Under 15 years","15",0
,"Clackamas County, OR","41005","15-19 years","15-19",58
,"Clackamas County, OR","41005","20-24 years","20-24",427
,"Clackamas County, OR","41005","25-29 years","25-29",983
,"Clackamas County, OR","41005","30-34 years","30-34",1277
,"Clackamas County, OR","41005","35-39 years","35-39",815
,"Clackamas County, OR","41005","40-44 years","40-44",170
,"Clackamas County, OR","41005","45-49 years","45-49",16
,"Clackamas County, OR","41005","50 years and over","50+",0
,"Deschutes County, OR","41017","Under 15 years","15",0
,"Deschutes County, OR","41017","15-19 years","15-19",36
,"Deschutes County, OR","41017","20-24 years","20-24",221
,"Deschutes County, OR","41017","25-29 years","25-29",476
,"Deschutes County, OR","41017","30-34 years","30-34",715
,"Deschutes County, OR","41017","35-39 years","35-39",411
,"Deschutes County, OR","41017","40-44 years","40-44",76
,"Deschutes County, OR","41017","45-49 years","45-49",Suppressed
,"Deschutes County, OR","41017","50 years and over","50+",0
,"Douglas County, OR","41019","Under 15 years","15",0
,"Douglas County, OR","41019","15-19 years","15-19",34
,"Douglas County, OR","41019","20-24 years","20-24",225
,"Douglas County, OR","41019","25-29 years","25-29",317
,"Douglas County, OR","41019","30-34 years","30-34",230
,"Douglas County, OR","41019","35-39 years","35-39",117
,"Douglas County, OR","41019","40-44 years","40-44",25
,"Douglas County, OR","41019","45-49 years","45-49",Suppressed
,"Douglas County, OR","41019","50 years and over","50+",0
,"Jackson County, OR","41029","Under 15 years","15",Suppressed
,"Jackson County, OR","41029","15-19 years","15-19",72
,"Jackson County, OR","41029","20-24 years","20-24",370
,"Jackson County, OR","41029","25-29 years","25-29",621
,"Jackson County, OR","41029","30-34 years","30-34",569
,"Jackson County, OR","41029","35-39 years","35-39",307
,"Jackson County, OR","41029","40-44 years","40-44",72
,"Jackson County, OR","41029","45-49 years","45-49",Suppressed
,"Jackson County, OR","41029","50 years and over","50+",0
,"Lane County, OR","41039","Under 15 years","15",Suppressed
,"Lane County, OR","41039","15-19 years","15-19",72
,"Lane County, OR","41039","20-24 years","20-24",435
,"Lane County, OR","41039","25-29 years","25-29",830
,"Lane County, OR","41039","30-34 years","30-34",850
,"Lane County, OR","41039","35-39 years","35-39",523
,"Lane County, OR","41039","40-44 years","40-44",100
,"Lane County, OR","41039","45-49 years","45-49",Suppressed
,"Lane County, OR","41039","50 years and over","50+",0
,"Linn County, OR","41043","Under 15 years","15",Suppressed
,"Linn County, OR","41043","15-19 years","15-19",50
,"Linn County, OR","41043","20-24 years","20-24",274
,"Linn County, OR","41043","25-29 years","25-29",492
,"Linn County, OR","41043","30-34 years","30-34",388
,"Linn County, OR","41043","35-39 years","35-39",202
,"Linn County, OR","41043","40-44 years","40-44",38
,"Linn County, OR","41043","45-49 years","45-49",Suppressed
,"Linn County, OR","41043","50 years and over","50+",0
,"Marion County, OR","41047","Under 15 years","15",Suppressed
,"Marion County, OR","41047","15-19 years","15-19",176
,"Marion County, OR","41047","20-24 years","20-24",767
,"Marion County, OR","41047","25-29 years","25-29",1306
,"Marion County, OR","41047","30-34 years","30-34",1089
,"Marion County, OR","41047","35-39 years","35-39",537
,"Marion County, OR","41047","40-44 years","40-44",115
,"Marion County, OR","41047","45-49 years","45-49",Suppressed
,"Marion County, OR","41047","50 years and over","50+",0
,"Multnomah County, OR","41051","Under 15 years","15",Suppressed
,"Multnomah County, OR","41051","15-19 years","15-19",171
,"Multnomah County, OR","41051","20-24 years","20-24",804
,"Multnomah County, OR","41051","25-29 years","25-29",1445
,"Multnomah County, OR","41051","30-34 years","30-34",2132
,"Multnomah County, OR","41051","35-39 years","35-39",1836
,"Multnomah County, OR","41051","40-44 years","40-44",452
,"Multnomah County, OR","41051","45-49 years","45-49",30
,"Multnomah County, OR","41051","50 years and over","50+",Suppressed
,"Washington County, OR","41067","Under 15 years","15",0
,"Washington County, OR","41067","15-19 years","15-19",110
,"Washington County, OR","41067","20-24 years","20-24",657
,"Washington County, OR","41067","25-29 years","25-29",1410
,"Washington County, OR","41067","30-34 years","30-34",2210
,"Washington County, OR","41067","35-39 years","35-39",1284
,"Washington County, OR","41067","40-44 years","40-44",309
,"Washington County, OR","41067","45-49 years","45-49",19
,"Washington County, OR","41067","50 years and over","50+",Suppressed
,"Unidentified Counties, OR","41999","Under 15 years","15",Suppressed
,"Unidentified Counties, OR","41999","15-19 years","15-19",354
,"Unidentified Counties, OR","41999","20-24 years","20-24",1751
,"Unidentified Counties, OR","41999","25-29 years","25-29",2889
,"Unidentified Counties, OR","41999","30-34 years","30-34",2613
,"Unidentified Counties, OR","41999","35-39 years","35-39",1255
,"Unidentified Counties, OR","41999","40-44 years","40-44",282
,"Unidentified Counties, OR","41999","45-49 years","45-49",13
,"Unidentified Counties, OR","41999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Oregon (41)"
"Year: 2024"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 2:27:08 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 2:27:08 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
