"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Aiken County, SC","45003","Hispanic or Latino","2135-2",155
,"Aiken County, SC","45003","Not Hispanic or Latino","2186-5",1634
,"Aiken County, SC","45003","Unknown or Not Stated","9",14
,"Anderson County, SC","45007","Hispanic or Latino","2135-2",146
,"Anderson County, SC","45007","Not Hispanic or Latino","2186-5",2022
,"Anderson County, SC","45007","Unknown or Not Stated","9",Suppressed
,"Beaufort County, SC","45013","Hispanic or Latino","2135-2",441
,"Beaufort County, SC","45013","Not Hispanic or Latino","2186-5",1428
,"Beaufort County, SC","45013","Unknown or Not Stated","9",Suppressed
,"Berkeley County, SC","45015","Hispanic or Latino","2135-2",388
,"Berkeley County, SC","45015","Not Hispanic or Latino","2186-5",2473
,"Berkeley County, SC","45015","Unknown or Not Stated","9",Suppressed
,"Charleston County, SC","45019","Hispanic or Latino","2135-2",525
,"Charleston County, SC","45019","Not Hispanic or Latino","2186-5",4415
,"Charleston County, SC","45019","Unknown or Not Stated","9",26
,"Dorchester County, SC","45035","Hispanic or Latino","2135-2",168
,"Dorchester County, SC","45035","Not Hispanic or Latino","2186-5",1685
,"Dorchester County, SC","45035","Unknown or Not Stated","9",Suppressed
,"Florence County, SC","45041","Hispanic or Latino","2135-2",62
,"Florence County, SC","45041","Not Hispanic or Latino","2186-5",1559
,"Florence County, SC","45041","Unknown or Not Stated","9",Suppressed
,"Greenville County, SC","45045","Hispanic or Latino","2135-2",1034
,"Greenville County, SC","45045","Not Hispanic or Latino","2186-5",5199
,"Greenville County, SC","45045","Unknown or Not Stated","9",28
,"Horry County, SC","45051","Hispanic or Latino","2135-2",435
,"Horry County, SC","45051","Not Hispanic or Latino","2186-5",2718
,"Horry County, SC","45051","Unknown or Not Stated","9",Suppressed
,"Lexington County, SC","45063","Hispanic or Latino","2135-2",350
,"Lexington County, SC","45063","Not Hispanic or Latino","2186-5",2844
,"Lexington County, SC","45063","Unknown or Not Stated","9",Suppressed
,"Pickens County, SC","45077","Hispanic or Latino","2135-2",74
,"Pickens County, SC","45077","Not Hispanic or Latino","2186-5",1207
,"Pickens County, SC","45077","Unknown or Not Stated","9",Suppressed
,"Richland County, SC","45079","Hispanic or Latino","2135-2",386
,"Richland County, SC","45079","Not Hispanic or Latino","2186-5",4452
,"Richland County, SC","45079","Unknown or Not Stated","9",Suppressed
,"Spartanburg County, SC","45083","Hispanic or Latino","2135-2",413
,"Spartanburg County, SC","45083","Not Hispanic or Latino","2186-5",3578
,"Spartanburg County, SC","45083","Unknown or Not Stated","9",Suppressed
,"Sumter County, SC","45085","Hispanic or Latino","2135-2",85
,"Sumter County, SC","45085","Not Hispanic or Latino","2186-5",1318
,"Sumter County, SC","45085","Unknown or Not Stated","9",10
,"York County, SC","45091","Hispanic or Latino","2135-2",211
,"York County, SC","45091","Not Hispanic or Latino","2186-5",2768
,"York County, SC","45091","Unknown or Not Stated","9",Suppressed
,"Unidentified Counties, SC","45999","Hispanic or Latino","2135-2",868
,"Unidentified Counties, SC","45999","Not Hispanic or Latino","2186-5",11850
,"Unidentified Counties, SC","45999","Unknown or Not Stated","9",25
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: South Carolina (45)"
"Year: 2019"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 7:27:49 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 7:27:49 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
