"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Arlington County, VA","51013","Hispanic or Latino","2135-2",490
,"Arlington County, VA","51013","Not Hispanic or Latino","2186-5",2159
,"Arlington County, VA","51013","Unknown or Not Stated","9",Suppressed
,"Chesterfield County, VA","51041","Hispanic or Latino","2135-2",666
,"Chesterfield County, VA","51041","Not Hispanic or Latino","2186-5",3236
,"Chesterfield County, VA","51041","Unknown or Not Stated","9",Suppressed
,"Fairfax County, VA","51059","Hispanic or Latino","2135-2",3448
,"Fairfax County, VA","51059","Not Hispanic or Latino","2186-5",9916
,"Fairfax County, VA","51059","Unknown or Not Stated","9",12
,"Henrico County, VA","51087","Hispanic or Latino","2135-2",358
,"Henrico County, VA","51087","Not Hispanic or Latino","2186-5",3337
,"Henrico County, VA","51087","Unknown or Not Stated","9",0
,"Loudoun County, VA","51107","Hispanic or Latino","2135-2",892
,"Loudoun County, VA","51107","Not Hispanic or Latino","2186-5",4002
,"Loudoun County, VA","51107","Unknown or Not Stated","9",15
,"Prince William County, VA","51153","Hispanic or Latino","2135-2",1971
,"Prince William County, VA","51153","Not Hispanic or Latino","2186-5",4410
,"Prince William County, VA","51153","Unknown or Not Stated","9",Suppressed
,"Spotsylvania County, VA","51177","Hispanic or Latino","2135-2",250
,"Spotsylvania County, VA","51177","Not Hispanic or Latino","2186-5",1318
,"Spotsylvania County, VA","51177","Unknown or Not Stated","9",0
,"Stafford County, VA","51179","Hispanic or Latino","2135-2",336
,"Stafford County, VA","51179","Not Hispanic or Latino","2186-5",1424
,"Stafford County, VA","51179","Unknown or Not Stated","9",Suppressed
,"Alexandria city, VA","51510","Hispanic or Latino","2135-2",540
,"Alexandria city, VA","51510","Not Hispanic or Latino","2186-5",1943
,"Alexandria city, VA","51510","Unknown or Not Stated","9",Suppressed
,"Chesapeake city, VA","51550","Hispanic or Latino","2135-2",294
,"Chesapeake city, VA","51550","Not Hispanic or Latino","2186-5",2649
,"Chesapeake city, VA","51550","Unknown or Not Stated","9",Suppressed
,"Hampton city, VA","51650","Hispanic or Latino","2135-2",128
,"Hampton city, VA","51650","Not Hispanic or Latino","2186-5",1472
,"Hampton city, VA","51650","Unknown or Not Stated","9",Suppressed
,"Newport News city, VA","51700","Hispanic or Latino","2135-2",366
,"Newport News city, VA","51700","Not Hispanic or Latino","2186-5",2384
,"Newport News city, VA","51700","Unknown or Not Stated","9",Suppressed
,"Norfolk city, VA","51710","Hispanic or Latino","2135-2",417
,"Norfolk city, VA","51710","Not Hispanic or Latino","2186-5",2913
,"Norfolk city, VA","51710","Unknown or Not Stated","9",Suppressed
,"Richmond city, VA","51760","Hispanic or Latino","2135-2",487
,"Richmond city, VA","51760","Not Hispanic or Latino","2186-5",2605
,"Richmond city, VA","51760","Unknown or Not Stated","9",0
,"Virginia Beach city, VA","51810","Hispanic or Latino","2135-2",591
,"Virginia Beach city, VA","51810","Not Hispanic or Latino","2186-5",4864
,"Virginia Beach city, VA","51810","Unknown or Not Stated","9",Suppressed
,"Unidentified Counties, VA","51999","Hispanic or Latino","2135-2",3208
,"Unidentified Counties, VA","51999","Not Hispanic or Latino","2186-5",34253
,"Unidentified Counties, VA","51999","Unknown or Not Stated","9",40
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Virginia (51)"
"Year: 2019"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 7:34:40 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 7:34:40 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
