"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Anne Arundel County, MD","24003","American Indian or Alaska Native","1002-5",19
,"Anne Arundel County, MD","24003","Asian","A",426
,"Anne Arundel County, MD","24003","Black or African American","2054-5",1348
,"Anne Arundel County, MD","24003","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Anne Arundel County, MD","24003","White","2106-3",4795
,"Anne Arundel County, MD","24003","More than one race","M",223
,"Anne Arundel County, MD","24003","Unknown or Not Stated","UNK",0
,"Anne Arundel County, MD","24003","Not Available","NA",0
,"Anne Arundel County, MD","24003","Not Reported","NR",0
,"Baltimore County, MD","24005","American Indian or Alaska Native","1002-5",41
,"Baltimore County, MD","24005","Asian","A",811
,"Baltimore County, MD","24005","Black or African American","2054-5",3441
,"Baltimore County, MD","24005","Native Hawaiian or Other Pacific Islander","NHOPI",11
,"Baltimore County, MD","24005","White","2106-3",5075
,"Baltimore County, MD","24005","More than one race","M",246
,"Baltimore County, MD","24005","Unknown or Not Stated","UNK",0
,"Baltimore County, MD","24005","Not Available","NA",0
,"Baltimore County, MD","24005","Not Reported","NR",0
,"Carroll County, MD","24013","American Indian or Alaska Native","1002-5",Suppressed
,"Carroll County, MD","24013","Asian","A",35
,"Carroll County, MD","24013","Black or African American","2054-5",58
,"Carroll County, MD","24013","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Carroll County, MD","24013","White","2106-3",1532
,"Carroll County, MD","24013","More than one race","M",26
,"Carroll County, MD","24013","Unknown or Not Stated","UNK",0
,"Carroll County, MD","24013","Not Available","NA",0
,"Carroll County, MD","24013","Not Reported","NR",0
,"Cecil County, MD","24015","American Indian or Alaska Native","1002-5",Suppressed
,"Cecil County, MD","24015","Asian","A",15
,"Cecil County, MD","24015","Black or African American","2054-5",78
,"Cecil County, MD","24015","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Cecil County, MD","24015","White","2106-3",1043
,"Cecil County, MD","24015","More than one race","M",28
,"Cecil County, MD","24015","Unknown or Not Stated","UNK",0
,"Cecil County, MD","24015","Not Available","NA",0
,"Cecil County, MD","24015","Not Reported","NR",0
,"Charles County, MD","24017","American Indian or Alaska Native","1002-5",11
,"Charles County, MD","24017","Asian","A",81
,"Charles County, MD","24017","Black or African American","2054-5",905
,"Charles County, MD","24017","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Charles County, MD","24017","White","2106-3",775
,"Charles County, MD","24017","More than one race","M",94
,"Charles County, MD","24017","Unknown or Not Stated","UNK",0
,"Charles County, MD","24017","Not Available","NA",0
,"Charles County, MD","24017","Not Reported","NR",0
,"Frederick County, MD","24021","American Indian or Alaska Native","1002-5",Suppressed
,"Frederick County, MD","24021","Asian","A",169
,"Frederick County, MD","24021","Black or African American","2054-5",391
,"Frederick County, MD","24021","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Frederick County, MD","24021","White","2106-3",2278
,"Frederick County, MD","24021","More than one race","M",85
,"Frederick County, MD","24021","Unknown or Not Stated","UNK",0
,"Frederick County, MD","24021","Not Available","NA",0
,"Frederick County, MD","24021","Not Reported","NR",0
,"Harford County, MD","24025","American Indian or Alaska Native","1002-5",Suppressed
,"Harford County, MD","24025","Asian","A",82
,"Harford County, MD","24025","Black or African American","2054-5",519
,"Harford County, MD","24025","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Harford County, MD","24025","White","2106-3",1997
,"Harford County, MD","24025","More than one race","M",82
,"Harford County, MD","24025","Unknown or Not Stated","UNK",0
,"Harford County, MD","24025","Not Available","NA",0
,"Harford County, MD","24025","Not Reported","NR",0
,"Howard County, MD","24027","American Indian or Alaska Native","1002-5",Suppressed
,"Howard County, MD","24027","Asian","A",754
,"Howard County, MD","24027","Black or African American","2054-5",824
,"Howard County, MD","24027","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Howard County, MD","24027","White","2106-3",1675
,"Howard County, MD","24027","More than one race","M",82
,"Howard County, MD","24027","Unknown or Not Stated","UNK",0
,"Howard County, MD","24027","Not Available","NA",0
,"Howard County, MD","24027","Not Reported","NR",0
,"Montgomery County, MD","24031","American Indian or Alaska Native","1002-5",79
,"Montgomery County, MD","24031","Asian","A",1827
,"Montgomery County, MD","24031","Black or African American","2054-5",2950
,"Montgomery County, MD","24031","Native Hawaiian or Other Pacific Islander","NHOPI",15
,"Montgomery County, MD","24031","White","2106-3",6932
,"Montgomery County, MD","24031","More than one race","M",261
,"Montgomery County, MD","24031","Unknown or Not Stated","UNK",0
,"Montgomery County, MD","24031","Not Available","NA",0
,"Montgomery County, MD","24031","Not Reported","NR",0
,"Prince George's County, MD","24033","American Indian or Alaska Native","1002-5",190
,"Prince George's County, MD","24033","Asian","A",520
,"Prince George's County, MD","24033","Black or African American","2054-5",6635
,"Prince George's County, MD","24033","Native Hawaiian or Other Pacific Islander","NHOPI",46
,"Prince George's County, MD","24033","White","2106-3",4102
,"Prince George's County, MD","24033","More than one race","M",310
,"Prince George's County, MD","24033","Unknown or Not Stated","UNK",0
,"Prince George's County, MD","24033","Not Available","NA",0
,"Prince George's County, MD","24033","Not Reported","NR",0
,"St. Mary's County, MD","24037","American Indian or Alaska Native","1002-5",Suppressed
,"St. Mary's County, MD","24037","Asian","A",42
,"St. Mary's County, MD","24037","Black or African American","2054-5",225
,"St. Mary's County, MD","24037","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"St. Mary's County, MD","24037","White","2106-3",1033
,"St. Mary's County, MD","24037","More than one race","M",60
,"St. Mary's County, MD","24037","Unknown or Not Stated","UNK",0
,"St. Mary's County, MD","24037","Not Available","NA",0
,"St. Mary's County, MD","24037","Not Reported","NR",0
,"Washington County, MD","24043","American Indian or Alaska Native","1002-5",Suppressed
,"Washington County, MD","24043","Asian","A",41
,"Washington County, MD","24043","Black or African American","2054-5",237
,"Washington County, MD","24043","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Washington County, MD","24043","White","2106-3",1284
,"Washington County, MD","24043","More than one race","M",83
,"Washington County, MD","24043","Unknown or Not Stated","UNK",0
,"Washington County, MD","24043","Not Available","NA",0
,"Washington County, MD","24043","Not Reported","NR",0
,"Baltimore city, MD","24510","American Indian or Alaska Native","1002-5",23
,"Baltimore city, MD","24510","Asian","A",226
,"Baltimore city, MD","24510","Black or African American","2054-5",4521
,"Baltimore city, MD","24510","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Baltimore city, MD","24510","White","2106-3",2781
,"Baltimore city, MD","24510","More than one race","M",153
,"Baltimore city, MD","24510","Unknown or Not Stated","UNK",0
,"Baltimore city, MD","24510","Not Available","NA",0
,"Baltimore city, MD","24510","Not Reported","NR",0
,"Unidentified Counties, MD","24999","American Indian or Alaska Native","1002-5",13
,"Unidentified Counties, MD","24999","Asian","A",106
,"Unidentified Counties, MD","24999","Black or African American","2054-5",1057
,"Unidentified Counties, MD","24999","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Unidentified Counties, MD","24999","White","2106-3",4129
,"Unidentified Counties, MD","24999","More than one race","M",153
,"Unidentified Counties, MD","24999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, MD","24999","Not Available","NA",0
,"Unidentified Counties, MD","24999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Maryland (24)"
"Year: 2019"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 6:12:06 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 6:12:06 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"4. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore County (FIPS code 24005)."
